dates,prices,mas,signals,returns
2023-09-22 13:23:00,26600.07,26310.276585208423,-1.0,99.97715337974444
2023-09-22 13:24:00,26600.07,26310.313293034436,-1.0,99.97715337974444
2023-09-22 13:25:00,26601.07,26310.34988039407,-1.0,99.97715337974444
2023-09-22 13:26:00,26604.99,26310.386556382542,-1.0,99.97715337974444
2023-09-22 13:27:00,26604.98,26310.42282450628,-1.0,99.97715337974444
2023-09-22 13:28:00,26608.05,26310.459346900116,-1.0,99.97715337974444
2023-09-22 13:29:00,26609.85,26310.495908875764,-1.0,99.97715337974444
2023-09-22 13:30:00,26596.7,26310.531904659438,-1.0,99.97715337974444
2023-09-22 13:31:00,26588.83,26310.567477520086,-1.0,99.97715337974444
2023-09-22 13:32:00,26615.55,26310.604200404396,-1.0,99.97715337974444
2023-09-22 13:33:00,26619.99,26310.640585552614,-1.0,99.97715337974444
2023-09-22 13:34:00,26613.6,26310.676695779348,-1.0,99.97715337974444
2023-09-22 13:35:00,26594.88,26310.712000602303,-1.0,99.97715337974444
2023-09-22 13:36:00,26595.03,26310.747186679837,-1.0,99.97715337974444
2023-09-22 13:37:00,26597.66,26310.782647678847,-1.0,99.97715337974444
2023-09-22 13:38:00,26596.67,26310.818147399194,-1.0,99.97715337974444
2023-09-22 13:39:00,26591.52,26310.8538695521,-1.0,99.97715337974444
2023-09-22 13:40:00,26581.73,26310.889174375057,-1.0,99.97715337974444
2023-09-22 13:41:00,26576.83,26310.924268381856,-1.0,99.97715337974444
2023-09-22 13:42:00,26574.63,26310.95937013292,-1.0,99.97715337974444
2023-09-22 13:43:00,26573.51,26310.994342382633,-1.0,99.97715337974444
2023-09-22 13:44:00,26581.49,26311.02981714923,-1.0,99.97715337974444
2023-09-22 13:45:00,26595.08,26311.066020307167,-1.0,99.97715337974444
2023-09-22 13:46:00,26599.41,26311.10241018799,-1.0,99.97715337974444
2023-09-22 13:47:00,26604.33,26311.139020350187,-1.0,99.97715337974444
2023-09-22 13:48:00,26595.4,26311.1752742761,-1.0,99.97715337974444
2023-09-22 13:49:00,26607.51,26311.21204921909,-1.0,99.97715337974444
2023-09-22 13:50:00,26604.1,26311.248613345928,-1.0,99.97715337974444
2023-09-22 13:51:00,26599.77,26311.284991610348,-1.0,99.97715337974444
2023-09-22 13:52:00,26594.76,26311.321261024797,-1.0,99.97715337974444
2023-09-22 13:53:00,26578.48,26311.356830443547,-1.0,99.97715337974444
2023-09-22 13:54:00,26575.0,26311.392249709563,-1.0,99.97715337974444
2023-09-22 13:55:00,26582.11,26311.42800929309,-1.0,99.97715337974444
2023-09-22 13:56:00,26602.74,26311.464656885913,-1.0,99.97715337974444
2023-09-22 13:57:00,26586.93,26311.500623843705,-1.0,99.97715337974444
2023-09-22 13:58:00,26601.1,26311.537172482007,-1.0,99.97715337974444
