dateTime,open,high,low,close,volume,price,return,strategyReturns,signals,strategyReturn TFS_10.75_570,signals TFS_10.75_570,strategyReturn TFE_8.86_0.04301,signals TFE_8.86_0.04301,"strategyReturn TFCS_12.64_[898, 3]","signals TFCS_12.64_[898, 3]","strategyReturn TFCE_8.75_[0.783906, 0.660514]","signals TFCE_8.75_[0.783906, 0.660514]","strategyReturn TFBBRSI_11.77_[511, 0.0093612, 5]","signals TFBBRSI_11.77_[511, 0.0093612, 5]"
2022-06-06 21:00:00,31462.49,31599.85,31410.23,31488.86,1300.12136000,31488.86,0.0008381409100168824,9.948497698016476,1.0,9.948497698016476,1.0,8.340098898934976,1.0,10.0,-1.0,10.769618367578227,-1.0,9.932223095991644,1.0
2022-06-06 22:00:00,31488.86,31543.4,31381.58,31395.55,964.87495000,31395.55,-0.0029632701850750287,9.919017611401657,1.0,9.919017611401657,1.0,8.315384932527184,1.0,10.0,-1.0,10.769618367578227,1.0,9.902791235419778,0.0
2022-06-06 23:00:00,31395.55,31431.14,31317.61,31373.1,1012.06796000,31373.1,-0.0007150694923325762,9.911924824513834,1.0,9.911924824513834,1.0,8.309438854444933,1.0,10.0,-1.0,10.761917342039508,1.0,9.895710051518392,0.0
2022-06-07 00:00:00,31373.1,31381.03,30131.01,30197.77,10182.07375000,30197.77,-0.03746298580631169,9.540594525499843,1.0,9.540594525499843,1.0,7.998142464582447,-1.0,10.0,-1.0,10.358743785405983,1.0,9.524987206314982,0.0
2022-06-07 01:00:00,30197.77,30257.14,29295.18,29568.47,11463.15517000,29568.47,-0.02083928713941452,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.142874949258282,1.0,9.326493262923334,-1.0
2022-06-07 02:00:00,29568.47,29568.48,29218.96,29402.08,6359.73876000,29402.08,-0.005627277975492118,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.085798172448149,1.0,9.326493262923334,-1.0
2022-06-07 03:00:00,29402.09,29668.1,29340.0,29563.62,6120.68755000,29563.62,0.005494169120007664,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.141211253317843,1.0,9.326493262923334,-1.0
2022-06-07 04:00:00,29563.61,29608.0,29455.4,29522.42,3289.71517000,29522.42,-0.0013936047074073477,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.127078413576408,1.0,9.326493262923334,-1.0
2022-06-07 05:00:00,29522.42,29632.49,29401.0,29478.41,3878.02366000,29478.41,-0.0014907314508769698,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.111981659279794,1.0,9.326493262923334,0.0
2022-06-07 06:00:00,29478.4,29561.26,29441.92,29521.24,1489.61972000,29521.24,0.0014529277528876339,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.126673638069253,-1.0,9.326493262923334,0.0
2022-06-07 07:00:00,29521.23,29598.75,29493.92,29585.12,1628.00425000,29585.12,0.0021638657454767785,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.126673638069253,-1.0,9.326493262923334,0.0
2022-06-07 08:00:00,29585.12,29733.63,29560.54,29652.76,2128.62612000,29652.76,0.002286284456510579,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.126673638069253,-1.0,9.326493262923334,0.0
2022-06-07 09:00:00,29652.76,29663.91,29550.0,29561.54,1388.65084000,29561.54,-0.003076273507086613,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.126673638069253,1.0,9.326493262923334,0.0
2022-06-07 10:00:00,29561.53,29655.96,29532.5,29597.79,1142.84869000,29597.79,0.0012262554657165303,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.139091526967462,-1.0,9.326493262923334,0.0
2022-06-07 11:00:00,29597.79,29617.57,29345.0,29521.5,3012.27658000,29521.5,-0.0025775573108668404,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.139091526967462,1.0,9.326493262923334,0.0
2022-06-07 12:00:00,29521.51,29570.0,29401.44,29504.21,2637.31256000,29504.21,-0.0005856748471453344,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.133153316087213,1.0,9.326493262923334,0.0
2022-06-07 13:00:00,29504.21,29715.57,29430.01,29564.48,3272.75616000,29564.48,0.0020427593214662476,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.153852909479498,-1.0,9.326493262923334,0.0
2022-06-07 14:00:00,29564.47,30041.25,29506.33,29908.73,5812.94357000,29908.73,0.011644040416066925,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.153852909479498,-1.0,9.326493262923334,0.0
2022-06-07 15:00:00,29908.72,30027.01,29775.8,29891.17,3357.91031000,29891.17,-0.0005871195467009871,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.153852909479498,-1.0,9.326493262923334,0.0
2022-06-07 16:00:00,29891.17,29950.0,29747.62,29918.31,1742.51734000,29918.31,0.0009079604445059175,9.341775336702225,-1.0,9.341775336702225,-1.0,7.998142464582447,-1.0,10.0,-1.0,10.153852909479498,-1.0,9.326493262923334,1.0
2022-06-07 17:00:00,29918.32,29989.3,29863.2,29943.75,1230.33646000,29943.75,0.000850315408858382,9.341775336702225,1.0,9.341775336702225,1.0,7.998142464582447,-1.0,10.0,-1.0,10.153852909479498,-1.0,9.33442372385541,1.0
2022-06-07 18:00:00,29943.76,30268.65,29925.19,30193.41,2532.70536000,30193.41,0.008337633061991312,9.419663631607207,1.0,9.419663631607207,1.0,7.998142464582447,-1.0,10.0,-1.0,10.153852909479498,-1.0,9.412250723710063,1.0
2022-06-07 19:00:00,30193.42,31429.85,30189.78,31059.71,9207.19644000,31059.71,0.028691691332645153,9.689929712982625,1.0,9.689929712982625,1.0,7.998142464582446,1.0,10.0,-1.0,10.153852909479498,-1.0,9.682304116220216,1.0
2022-06-07 20:00:00,31059.71,31589.6,31048.99,31350.33,8526.58092000,31350.33,0.009356816274202151,9.780596605016937,1.0,9.780596605016937,1.0,8.07297961415844,1.0,10.0,-1.0,10.153852909479498,-1.0,9.772899656946642,1.0
2022-06-07 21:00:00,31350.33,31547.56,31271.1,31401.21,3571.36425000,31401.21,0.0016229494234987207,9.796470018638523,1.0,9.796470018638523,1.0,8.086081651769156,1.0,10.0,-1.0,10.153852909479498,-1.0,9.788760578810795,1.0
2022-06-07 22:00:00,31401.21,31568.0,30300.0,31259.96,10302.91669000,31259.96,-0.0044982343037099914,9.752403201145418,1.0,9.752403201145418,1.0,8.049708561900568,1.0,10.0,-1.0,10.153852909479498,-1.0,9.744728440184383,1.0
2022-06-07 23:00:00,31259.96,31386.46,30914.26,31125.33,6396.55626000,31125.33,-0.004306787340738638,9.710401674496945,1.0,9.710401674496945,1.0,8.015040178969539,1.0,10.0,-1.0,10.153852909479498,1.0,9.702759967099261,0.0
2022-06-08 00:00:00,31125.32,31327.22,31050.83,31079.67,3357.85846000,31079.67,-0.0014669723983650185,9.69615678326342,1.0,9.69615678326342,1.0,8.003282336255204,1.0,10.0,-1.0,10.138957487524234,1.0,9.688526286039567,0.0
2022-06-08 01:00:00,31079.67,31230.0,30738.51,31118.19,4038.99251000,31118.19,0.0012393953989859874,9.708174155368443,1.0,9.708174155368443,1.0,8.013201567559543,1.0,10.0,-1.0,10.151523664784785,1.0,9.700534200941437,0.0
2022-06-08 02:00:00,31118.19,31244.16,30948.83,30973.14,1803.16908000,30973.14,-0.004661260825260083,9.662921823493221,1.0,9.662921823493221,1.0,7.975849945007766,1.0,10.0,-1.0,10.104204765209424,1.0,9.655317480886493,0.0
2022-06-08 03:00:00,30973.13,31028.92,29843.88,30026.72,10457.20765000,30026.72,-0.03055615284727342,9.367660107303308,1.0,9.367660107303308,1.0,7.732138655001191,-1.0,10.0,-1.0,9.795459140003535,1.0,9.360288124151575,0.0
2022-06-08 04:00:00,30026.71,30396.0,29872.55,30248.45,6228.52668000,30248.45,0.007384422940634128,9.436834871499743,1.0,9.436834871499743,1.0,7.732138655001191,-1.0,10.0,-1.0,9.867792953191023,1.0,9.429408450506505,0.0
