signal,btc,usdt,time,price,quantity,commission,fillsLength
1,0.00048,0.12326900000000407,1679356948567,27716.24000000,0.00048000,0.00000000,1
-1,0.0,13.492565000000004,1679374909961,27852.70000000,0.00048000,0.00000000,1
1,0.00048,0.1768418000000036,1679378529508,27741.09000000,0.00048000,0.00000000,1
-1,0.0,13.598558600000004,1679392859441,27961.91000000,0.00048000,0.00000000,1
1,0.00048,0.21848660000000386,1679410858284,27875.15000000,0.00048000,0.00000000,1
-1,0.0,13.670707400000003,1679414467139,28025.46000000,0.00048000,0.00000000,1
1,0.00048,0.2542274000000049,1679421661061,27951.00000000,0.00048000,0.00000000,1
-1,0.0,13.753435400000004,1679425256660,28123.35000000,0.00048000,0.00000000,1
1,0.00048,0.2714498000000045,1679432458444,28087.47000000,0.00048000,0.00000000,1
-1,0.0,13.759742600000004,1679443381220,28100.61000000,0.00048000,0.01348829,1
1,0.00049,0.0480775000000051,1679446882021,27982.99000000,0.00049000,0.00000049,1
-1,0.0,13.807076600000006,1679450467487,28079.59000000,0.00049000,0.01375900,1
1,0.00049,0.0638408000000048,1679454131818,28047.42000000,0.00049000,0.00000049,1
-1,0.0,13.857002700000004,1679457697217,28149.31000000,0.00049000,0.01379316,1
1,0.00049,0.09060460000000425,1679472092047,28094.69000000,0.00049000,0.00000049,1
-1,0.0,13.886329200000004,1679482870536,28154.54000000,0.00049000,0.01379572,1
1,0.00049,0.10409920000000383,1679486487964,28127.00000000,0.00049000,0.00000049,1
-1,0.0,13.925093100000003,1679490066596,28206.11000000,0.00049000,0.01382099,1
1,0.00049,0.21432960000000278,1679511662031,27981.15000000,0.00049000,0.00000049,1
-1,0.0,13.622748400000003,1679540522077,27364.12000000,0.00049000,0.01340842,1
1,0.00049,0.2542205000000042,1679547708568,27282.71000000,0.00049000,0.00000049,1
-1,0.0,13.790142200000004,1679551333033,27624.33000000,0.00049000,0.01353592,1
